epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.53611,0.461376,0.647289,0.8706,2.134586
2,0.579084,0.388915,0.8328,0.8848,2.564781
3,0.505966,0.366685,0.850867,0.8878,inf
4,0.462372,0.353175,0.862689,0.8934,2.416915
5,0.431148,0.340829,0.870289,0.8988,2.391936
6,0.408808,0.344961,0.878267,0.8964,2.358353
7,0.388696,0.335509,0.883422,0.8952,2.284256
8,0.378257,0.333325,0.886867,0.8982,2.342295
9,0.359836,0.326836,0.891889,0.901,2.30027
10,0.350945,0.328709,0.893711,0.8966,inf
