epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.528465,0.444994,0.648556,0.8698,1.002174
2,0.591748,0.377372,0.829956,0.8836,1.289331
3,0.513422,0.343896,0.851,0.8922,1.247758
4,0.473079,0.332672,0.859111,0.8978,1.230018
5,0.43838,0.324768,0.871556,0.8974,1.22128
6,0.410991,0.3211,0.877689,0.9006,1.217557
7,0.387672,0.320142,0.8846,0.8994,1.190274
8,0.375337,0.310681,0.888867,0.904,1.189886
9,0.363846,0.313551,0.8908,0.9012,1.197846
10,0.34149,0.310313,0.896733,0.904,1.169858
