epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.477217,0.458065,0.6608,0.8638,1.089129
2,0.567254,0.379784,0.837,0.8878,1.298721
3,0.492655,0.352954,0.852778,0.8912,1.253907
4,0.441007,0.337788,0.868867,0.897,1.201062
5,0.413229,0.329701,0.8762,0.9008,1.203695
6,0.390872,0.323511,0.883711,0.9012,1.202316
7,0.365925,0.316302,0.889889,0.9004,1.1715
8,0.346658,0.313134,0.896244,0.9018,1.188315
9,0.339173,0.312372,0.897644,0.9038,1.176081
10,0.321908,0.311439,0.903022,0.9018,1.167981
