epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.525262,0.44532,0.650378,0.8686,0.701123
2,0.59246,0.376841,0.828333,0.883,0.930419
3,0.501781,0.353088,0.853267,0.8878,0.90564
4,0.45787,0.336052,0.864644,0.8934,0.895269
5,0.431958,0.330939,0.870289,0.8948,0.883624
6,0.406904,0.316799,0.878911,0.8988,0.886578
7,0.379401,0.309797,0.887044,0.9012,0.854048
8,0.367693,0.313984,0.889267,0.9,0.863603
9,0.352903,0.309505,0.894489,0.903,0.851865
10,0.344203,0.315455,0.895578,0.9004,0.859448
