epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.503613,0.441224,0.652778,0.8714,1.539615
2,0.573438,0.368602,0.834,0.8868,1.801311
3,0.50211,0.338725,0.852911,0.8934,1.767425
4,0.452852,0.334186,0.865822,0.892,1.725477
5,0.426347,0.318592,0.872822,0.9002,1.689245
6,0.394007,0.314049,0.880911,0.8984,1.685836
7,0.374984,0.308524,0.887489,0.9058,inf
8,0.360121,0.310762,0.891978,0.9042,1.621641
9,0.342541,0.304625,0.896778,0.901,1.638179
10,0.326216,0.315935,0.902222,0.9002,1.605193
