epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.566912,0.449375,0.642378,0.8686,1.001941
2,0.585764,0.373919,0.831267,0.8858,1.284356
3,0.513625,0.343777,0.848489,0.8926,1.291624
4,0.463435,0.336561,0.863467,0.8926,1.2643
5,0.437339,0.322046,0.868667,0.8974,1.250742
6,0.40604,0.317139,0.877289,0.8974,1.256962
7,0.386629,0.312405,0.883133,0.903,1.238438
8,0.373157,0.31261,0.888467,0.901,1.213692
9,0.355154,0.306386,0.892978,0.9022,1.233982
10,0.339141,0.315853,0.897933,0.9002,1.202167
