epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.611779,0.471624,0.636711,0.8632,0.640598
2,0.604296,0.388629,0.826489,0.8824,0.906118
3,0.518835,0.362753,0.8492,0.888,0.892692
4,0.472808,0.341881,0.8608,0.8946,0.874298
5,0.446743,0.334836,0.868133,0.896,0.882497
6,0.415116,0.330961,0.876244,0.8954,0.878916
7,0.404841,0.324057,0.879022,0.9016,0.879435
8,0.380044,0.320494,0.8858,0.901,0.86741
9,0.366871,0.322754,0.889933,0.9002,0.876264
10,0.359257,0.320245,0.892733,0.9034,0.880973
