epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.549728,0.451428,0.645711,0.8678,0.710847
2,0.592795,0.381024,0.829933,0.8834,0.926649
3,0.507251,0.354075,0.849733,0.8898,0.916243
4,0.466763,0.341249,0.860556,0.8938,0.898301
5,0.426271,0.329592,0.8722,0.8964,0.88001
6,0.408999,0.32336,0.8776,0.8966,0.880246
7,0.387637,0.315663,0.884644,0.9042,0.874582
8,0.365104,0.322279,0.889489,0.8992,0.881376
9,0.3522,0.319908,0.893889,0.9036,0.869375
10,0.332341,0.317236,0.900422,0.9034,0.866179
