epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.621779,0.470832,0.632089,0.8636,0.894758
2,0.616679,0.385572,0.824356,0.8802,1.276808
3,0.531015,0.361029,0.843644,0.8854,1.276246
4,0.478546,0.342269,0.857178,0.8912,1.27561
5,0.450243,0.340301,0.865378,0.8944,1.262228
6,0.427319,0.32684,0.8716,0.8974,1.285096
7,0.409161,0.327012,0.877711,0.8926,1.261343
8,0.384143,0.324105,0.884356,0.8988,1.230206
9,0.377323,0.321518,0.8876,0.9012,1.256307
10,0.359253,0.319488,0.892178,0.8988,1.263709
