epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.539698,0.455446,0.650644,0.8706,0.723884
2,0.582658,0.374287,0.831133,0.8856,0.921051
3,0.506865,0.347082,0.849689,0.8938,0.91544
4,0.466493,0.333603,0.862067,0.8968,0.900008
5,0.431148,0.32211,0.869422,0.905,0.889185
6,0.405764,0.309855,0.877289,0.9048,0.891238
7,0.381412,0.315616,0.8848,0.899,0.859884
8,0.366512,0.306872,0.890067,0.9046,0.87083
9,0.359937,0.309647,0.892422,0.9026,0.88365
10,0.336889,0.303306,0.899222,0.9062,0.859896
