epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.471405,0.428118,0.661244,0.8744,0.759491
2,0.567568,0.361461,0.836511,0.8882,0.915068
3,0.484881,0.341762,0.855178,0.893,0.88727
4,0.441996,0.332157,0.869267,0.8944,0.862845
5,0.404941,0.322874,0.878178,0.9016,0.844821
6,0.374559,0.316502,0.887378,0.8998,0.84264
7,0.353916,0.313061,0.894822,0.8994,0.820621
8,0.345749,0.310696,0.895711,0.9004,0.823394
9,0.326666,0.306447,0.902978,0.9028,0.819058
10,0.313948,0.309281,0.905844,0.9038,0.820145
