epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.63127,0.461903,0.631578,0.8658,0.630855
2,0.602492,0.382115,0.826911,0.8828,0.884225
3,0.527645,0.351561,0.844467,0.8882,0.909917
4,0.475599,0.341611,0.860489,0.8914,0.900582
5,0.449291,0.326875,0.866,0.896,0.898873
6,0.417772,0.320785,0.874044,0.8974,0.909452
7,0.398822,0.314961,0.879689,0.9006,0.902673
8,0.386695,0.315686,0.884378,0.8992,0.888502
9,0.367788,0.309994,0.888356,0.901,0.906425
10,0.352589,0.317133,0.893867,0.901,0.89043
