epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.546216,0.436748,0.645622,0.876,0.711021
2,0.590636,0.35734,0.830978,0.8908,0.919795
3,0.509185,0.326744,0.851556,0.8948,0.910137
4,0.465843,0.306287,0.859711,0.902,0.882494
5,0.433182,0.302136,0.871289,0.9068,0.883842
6,0.408724,0.293163,0.878089,0.9068,0.882528
7,0.392922,0.286073,0.882844,0.9068,0.865406
8,0.36302,0.287974,0.890489,0.907,0.851711
9,0.35711,0.28817,0.892422,0.9034,0.875905
10,0.337659,0.283721,0.898889,0.9068,0.855136
