epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.566261,0.449949,0.642267,0.8686,1.005991
2,0.585631,0.374332,0.830933,0.884,1.285199
3,0.513327,0.343727,0.849111,0.8918,1.289034
4,0.46311,0.336776,0.863511,0.8924,1.262115
5,0.437215,0.321523,0.868444,0.898,1.250608
6,0.405503,0.317774,0.877956,0.898,1.255123
7,0.386244,0.311798,0.883156,0.9036,1.240355
8,0.373069,0.312015,0.888689,0.9008,1.215891
9,0.354744,0.30593,0.892756,0.9038,1.231786
10,0.33872,0.316541,0.897711,0.9008,1.20109
