epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.499531,0.426824,0.655644,0.8746,1.087056
2,0.568328,0.353596,0.834578,0.8914,1.312067
3,0.489607,0.338714,0.855311,0.892,1.274592
4,0.44878,0.316318,0.866644,0.8988,1.232732
5,0.412786,0.305115,0.876711,0.9022,1.203833
6,0.388843,0.311488,0.883689,0.9012,1.18847
7,0.363789,0.308051,0.891689,0.9048,1.170158
8,0.352699,0.303202,0.892778,0.9066,1.178218
9,0.332223,0.301114,0.901244,0.9058,1.145521
10,0.326629,0.300801,0.901689,0.906,1.164769
