epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.483478,0.440372,0.657667,0.8714,1.09049
2,0.575403,0.376957,0.834289,0.8864,1.304488
3,0.49156,0.347678,0.853889,0.8912,1.26689
4,0.450045,0.336347,0.865444,0.8944,1.224602
5,0.410039,0.326533,0.876156,0.8978,1.200391
6,0.39158,0.320007,0.882622,0.9014,1.188328
7,0.370278,0.312531,0.889222,0.9054,1.189247
8,0.346144,0.320304,0.895933,0.9024,1.183713
9,0.33305,0.321091,0.899044,0.9052,1.177938
10,0.313615,0.319284,0.905578,0.9034,1.172013
