epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.61606,0.465187,0.633156,0.8624,0.454269
2,0.611087,0.389305,0.825778,0.8778,0.641704
3,0.521728,0.3595,0.846533,0.8876,0.64847
4,0.482115,0.345078,0.855778,0.8918,0.648175
5,0.441871,0.332903,0.868422,0.8946,0.637933
6,0.424782,0.325471,0.8722,0.8966,0.643825
7,0.404947,0.319364,0.878667,0.9012,0.643294
8,0.381765,0.323838,0.885467,0.8984,0.644719
9,0.370603,0.320871,0.887733,0.9016,0.639356
10,0.35032,0.318,0.8952,0.9016,0.639698
