epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.569599,0.476559,0.6428,0.8634,0.719053
2,0.591944,0.406985,0.829622,0.8746,0.941516
3,0.515568,0.376027,0.849,0.8844,0.931392
4,0.464848,0.350166,0.863267,0.8914,0.895915
5,0.432102,0.33725,0.872244,0.8952,0.887398
6,0.400567,0.334606,0.880867,0.8936,0.872867
7,0.390132,0.325143,0.883089,0.8974,0.886247
8,0.361713,0.320905,0.890733,0.9034,0.8584
9,0.360935,0.322732,0.891756,0.9,0.87448
10,0.342936,0.317618,0.897756,0.9012,0.852218
