epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.497471,0.452213,0.653178,0.8652,2.153557
2,0.589192,0.37797,0.831511,0.8848,2.60075
3,0.511233,0.353974,0.851044,0.8892,2.495707
4,0.459387,0.336774,0.862444,0.895,2.424357
5,0.434258,0.334237,0.870133,0.8992,2.39736
6,0.410941,0.323707,0.875556,0.896,inf
7,0.392653,0.325643,0.883667,0.893,2.31221
8,0.368054,0.322869,0.889244,0.9016,2.268523
9,0.359842,0.321026,0.892689,0.9002,2.314166
10,0.342056,0.323251,0.896956,0.902,2.260806
