epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.475015,0.447521,0.659222,0.866,1.121526
2,0.576959,0.373569,0.833178,0.8826,1.323265
3,0.48789,0.343432,0.855689,0.892,1.273396
4,0.445527,0.340889,0.867756,0.8916,1.224799
5,0.415075,0.325335,0.875889,0.8978,1.181725
6,0.392966,0.324784,0.883622,0.8962,1.178514
7,0.371026,0.31744,0.887267,0.9002,1.16964
8,0.350275,0.310781,0.894689,0.9,1.171691
9,0.337111,0.317043,0.898867,0.8974,1.163932
10,0.318412,0.314927,0.9048,0.902,1.154692
