epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.567221,0.450356,0.642111,0.8696,0.999938
2,0.585779,0.374486,0.831178,0.8854,1.285957
3,0.513504,0.344683,0.848311,0.8922,1.29138
4,0.463392,0.336204,0.863378,0.8928,1.261354
5,0.437411,0.322438,0.868956,0.8976,1.250587
6,0.405822,0.317123,0.877978,0.8988,1.252672
7,0.386601,0.311925,0.883511,0.9042,1.235504
8,0.373173,0.312685,0.888644,0.9016,1.209609
9,0.355083,0.306586,0.892711,0.9016,1.234662
10,0.339491,0.315625,0.897778,0.9012,1.204451
