epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.534927,0.447787,0.647067,0.871,1.47094
2,0.574793,0.375268,0.835067,0.8866,1.782509
3,0.490975,0.352997,0.855556,0.8908,1.736852
4,0.444102,0.325955,0.8676,0.9008,1.696583
5,0.414156,0.324875,0.8754,0.8982,1.670958
6,0.39993,0.312055,0.880089,0.9026,1.666154
7,0.37692,0.308651,0.887089,0.905,1.650537
8,0.362184,0.307328,0.891356,0.9032,1.637675
9,0.345866,0.311028,0.8962,0.904,1.632543
10,0.330655,0.309631,0.901044,0.9028,inf
