epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.611111,0.465936,0.635822,0.862,0.44477
2,0.613854,0.388406,0.823022,0.878,0.639102
3,0.523172,0.357964,0.846333,0.8912,0.648901
4,0.48546,0.340927,0.856711,0.8942,0.645687
5,0.450038,0.326322,0.866533,0.8982,0.640412
6,0.416938,0.328833,0.874489,0.8968,0.634889
7,0.396982,0.319845,0.880489,0.9008,0.63085
8,0.384825,0.310215,0.884689,0.9044,0.620524
9,0.376249,0.311663,0.888356,0.905,0.642627
10,0.354406,0.308639,0.894578,0.9004,0.62431
