epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.54571,0.454613,0.646489,0.8686,0.496198
2,0.584674,0.377839,0.831933,0.8868,0.653635
3,0.504351,0.346871,0.852422,0.891,0.635051
4,0.462173,0.328138,0.862778,0.8982,0.621746
5,0.431952,0.322039,0.871089,0.8972,0.615981
6,0.406694,0.318804,0.8796,0.8966,0.605291
7,0.38199,0.313101,0.885044,0.9004,0.607903
8,0.360753,0.309336,0.891022,0.9016,0.607518
9,0.349408,0.304794,0.894578,0.904,0.599322
10,0.332838,0.301292,0.898933,0.9056,0.603938
