epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.449784,0.469099,0.665044,0.8594,3.31196
2,0.570108,0.396447,0.837889,0.8772,3.632788
3,0.500696,0.364274,0.854422,0.8912,inf
4,0.462006,0.352077,0.863489,0.8918,3.250914
5,0.425209,0.343961,0.873111,0.891,3.166514
6,0.400508,0.337169,0.880756,0.8948,3.09067
7,0.382592,0.336566,0.884489,0.8942,3.039596
8,0.373087,0.332293,0.887556,0.893,3.0338
9,0.353664,0.331826,0.8938,0.8948,2.972502
10,0.349539,0.332101,0.895333,0.8954,inf
