epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.546287,0.43342,0.648022,0.8754,0.715805
2,0.585599,0.360961,0.8306,0.8886,0.925763
3,0.510594,0.335761,0.849956,0.8918,0.898471
4,0.464476,0.321898,0.861756,0.8976,0.885044
5,0.434553,0.317275,0.870133,0.9012,0.864278
6,0.408228,0.30439,0.878244,0.9042,0.867027
7,0.390843,0.307348,0.882,0.9038,0.870994
8,0.373369,0.297773,0.887489,0.907,0.878365
9,0.352202,0.29445,0.893644,0.9066,0.874203
10,0.340868,0.295792,0.897822,0.903,0.856658
