epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.52101,0.454949,0.649022,0.866,0.670173
2,0.581321,0.378419,0.832622,0.8822,0.892945
3,0.507507,0.355094,0.850111,0.8892,0.877619
4,0.460464,0.335163,0.864289,0.8974,0.869748
5,0.427057,0.324579,0.872244,0.8988,0.852517
6,0.407798,0.32396,0.878911,0.8984,0.84738
7,0.385807,0.317431,0.884311,0.8984,0.84218
8,0.37265,0.316877,0.890067,0.8992,0.833651
9,0.346521,0.315162,0.895733,0.9032,0.845095
10,0.338969,0.31185,0.897778,0.9012,0.835572
