epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.439597,0.435152,0.6656,0.8734,3.20944
2,0.581684,0.371846,0.832644,0.8854,3.591374
3,0.49722,0.344686,0.852867,0.8934,inf
4,0.451133,0.328082,0.866178,0.897,3.244931
5,0.434884,0.332,0.870467,0.8968,3.210051
6,0.402745,0.320352,0.879022,0.8998,3.071641
7,0.385055,0.319212,0.883533,0.8992,3.045357
8,0.375719,0.319765,0.8884,0.9004,2.997538
9,0.357387,0.318656,0.893556,0.9022,2.919167
10,0.347477,0.313587,0.895622,0.901,2.916785
