epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.411022,0.451789,0.672622,0.859,1.652996
2,0.554979,0.37371,0.8384,0.8818,1.804331
3,0.47853,0.35343,0.859667,0.8872,1.726199
4,0.432026,0.334029,0.871356,0.892,1.682193
5,0.40011,0.331458,0.879778,0.8928,1.659785
6,0.371086,0.323617,0.888711,0.8932,1.626599
7,0.342391,0.321598,0.894978,0.896,1.610875
8,0.329618,0.315516,0.901133,0.9026,1.591023
9,0.316903,0.320517,0.904467,0.8998,1.609429
10,0.296286,0.310877,0.9124,0.9052,1.560253
