epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.55825,0.46083,0.642711,0.8648,1.406871
2,0.601186,0.381263,0.828156,0.8826,1.842027
3,0.519678,0.355254,0.847089,0.8894,1.800748
4,0.467817,0.338219,0.860178,0.8954,1.782491
5,0.441183,0.335886,0.8676,0.8974,1.760597
6,0.418255,0.32365,0.874311,0.8958,inf
7,0.399968,0.325735,0.880956,0.8932,1.739743
8,0.375576,0.322445,0.887178,0.9,1.689934
9,0.367941,0.320449,0.889867,0.9004,1.725064
10,0.34955,0.319444,0.8952,0.902,1.701462
