dataset,model,batch_size,optimizer,learning_rate,scheduler,epochs,best,count,val_acc_formatted
mnist,resnet18,32,adam,0.0001,none,10,99.12857142857143,6,99.01 ± 0.09%
mnist,resnet18,32,adam,0.0001,none,20,99.22857142857144,3,99.12 ± 0.14%
mnist,resnet18,32,adam,0.001,cosine,10,99.44285714285714,6,99.41 ± 0.03%
mnist,resnet18,32,adam,0.001,cosine,20,99.54285714285714,6,99.45 ± 0.07%
mnist,resnet18,32,adam,0.001,none,10,99.14285714285714,6,99.09 ± 0.04%
mnist,resnet18,32,adam,0.001,none,20,99.41428571428573,3,99.30 ± 0.11%
mnist,resnet18,32,sgd,0.0001,cosine,10,98.48571428571428,3,98.44 ± 0.04%
mnist,resnet18,32,sgd,0.0001,cosine,20,98.74285714285716,6,98.57 ± 0.11%
mnist,resnet18,32,sgd,0.0001,none,10,98.68571428571428,3,98.55 ± 0.13%
mnist,resnet18,32,sgd,0.001,cosine,10,99.22857142857144,3,99.14 ± 0.10%
mnist,resnet18,32,sgd,0.001,cosine,20,99.34285714285714,6,99.18 ± 0.09%
mnist,resnet18,32,sgd,0.001,none,10,99.21428571428572,3,99.13 ± 0.09%
mnist,resnet50,16,adam,0.0001,cosine,10,99.05714285714286,3,98.89 ± 0.15%
mnist,resnet50,16,adam,0.0001,cosine,20,99.28571428571428,3,99.19 ± 0.10%
mnist,resnet50,16,adam,0.001,cosine,10,99.4,3,99.30 ± 0.10%
mnist,resnet50,16,adam,0.001,cosine,20,99.34285714285714,3,99.26 ± 0.09%
mnist,resnet50,16,adam,0.001,none,10,98.95714285714286,3,98.90 ± 0.10%
mnist,resnet50,16,sgd,0.0001,cosine,10,98.24285714285716,3,98.12 ± 0.11%
mnist,resnet50,16,sgd,0.0001,cosine,20,98.54285714285714,3,98.50 ± 0.04%
mnist,resnet50,16,sgd,0.0001,none,10,98.4,3,98.32 ± 0.10%
mnist,resnet50,16,sgd,0.001,cosine,10,99.04285714285714,3,98.99 ± 0.05%
mnist,resnet50,16,sgd,0.001,cosine,20,99.14285714285714,3,99.07 ± 0.07%
mnist,resnet50,16,sgd,0.001,none,10,98.91428571428573,3,98.81 ± 0.10%
mnist,resnet50,32,adam,0.0001,cosine,10,98.68571428571428,3,98.64 ± 0.05%
mnist,resnet50,32,adam,0.0001,cosine,20,99.05714285714286,6,98.96 ± 0.10%
mnist,resnet50,32,adam,0.001,cosine,10,99.37142857142857,3,99.27 ± 0.11%
mnist,resnet50,32,adam,0.001,cosine,20,99.5,6,99.34 ± 0.13%
mnist,resnet50,32,adam,0.001,none,10,98.82857142857142,6,98.77 ± 0.05%
mnist,resnet50,32,sgd,0.0001,cosine,10,97.55714285714286,3,97.48 ± 0.11%
mnist,resnet50,32,sgd,0.0001,cosine,20,98.11428571428571,5,97.99 ± 0.08%
mnist,resnet50,32,sgd,0.001,cosine,10,98.95714285714286,3,98.92 ± 0.03%
mnist,resnet50,32,sgd,0.001,cosine,20,99.04285714285714,3,99.01 ± 0.03%
