epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,2.209818,0.925275,0.513889,0.7598,0.0
2,1.248022,0.746979,0.679133,0.7898,0.0
3,1.106287,0.689521,0.705356,0.8046,0.0
4,1.055863,0.659456,0.714467,0.8072,0.0
5,1.00873,0.646825,0.7252,0.811,0.0
6,0.98933,0.635583,0.729667,0.8132,0.0
7,0.96481,0.628542,0.734933,0.8176,0.0
8,0.932309,0.623463,0.745711,0.815,0.0
9,0.923198,0.61488,0.746356,0.819,0.0
10,0.910973,0.611897,0.749756,0.8178,0.0
